,USERS,Purchases,Spent
218,890752,1,32.5
219,890761,28,55.07999
220,890771,19,91.02
221,890772,9,4029.9300000000003
222,890781,19,57.199999999999996
223,890782,16,40.91
224,890791,6,112.47
225,890792,4,688.1800000000001
226,890801,1,2.49
227,890802,13,180.85
228,890821,16,331.72
229,890822,13,75.58
230,890831,28,482.11
231,890832,24,320.13
232,890851,89,909.76
233,890852,50,799.9900000000001
234,890861,11,125.88000000000001
235,890862,8,203.48000000000002
236,890871,3,24.900000000000002
237,890872,1,15.78
238,890881,53,856.99999
239,890882,14,686.99001
240,890892,35,425.2
241,890902,15,439.35
242,890911,56,317.34999999999997
243,890912,73,527.77
244,890931,30,280.71
245,890932,37,406.22
246,890941,37,613.73
247,890942,53,924.3700000000001
248,890961,20,76.88
249,890962,4,2223.0499999999997
250,890971,20,178.17999999999995
251,890972,37,127.53
252,890981,34,938.47
253,890982,32,1813.7600000000002
254,890991,31,4865.880010000001
255,890992,39,3132.75
256,891011,28,215.67
257,891012,33,765.4
258,891021,58,1233.27
259,891022,61,550.9399999999999
260,891031,7,39.5
261,891032,58,1494.9900000000005
262,891041,58,2713.71
263,891042,61,4761.740000000001
264,891051,37,662.35
265,891052,70,1716.16999
266,891061,33,1708.84
267,891062,43,293.44
268,891071,19,65.13
269,891072,23,106.38
270,891081,23,64.20002
271,891082,3,47.08
272,891091,45,1700.1299999999999
273,891092,29,1529.73
274,891101,3,58.0
275,891102,26,68.74999
276,891111,44,1199.09001
277,891112,31,174.90999999999997
278,891121,30,267.00000000000006
279,891122,28,183.21
280,891131,20,552.44
281,891132,6,11.04
282,891141,44,503.00001
283,891142,43,218.0
284,891152,60,1257.1000000000001
285,891161,64,1964.16
286,891171,67,319.53
287,891172,59,247.28
288,891181,76,506.16
289,891182,66,359.79001
290,891191,23,224.78000000000003
291,891192,6,42.76
292,891201,21,556.6900000000002
293,891202,15,99.04
294,891211,27,183.21
295,891212,129,2414.69999
296,891222,39,437.37
297,891231,26,6896.780000000001
298,891241,49,2413.88
299,891242,81,3623.34001
300,891251,24,1463.85
301,891252,31,177.14283
302,891261,27,442.56998999999996
303,891262,13,509.37
304,891271,61,3091.4700000000003
305,891272,55,1217.88999
306,891282,2,7.17
307,891291,41,241.00001999999998
308,891292,10,1225.0
309,891301,52,7480.791
310,891302,74,5091.91001
311,891311,50,1806.3099999999997
312,891312,31,666.11
313,891322,29,303.36
314,891331,60,356.87001
